"filename", "language", "PLSQL", "XML", "C#", "JSON", "Properties", "JSON with Comments", "Markdown", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\appsettings.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\bin\Debug\net9.0\MaritimeApp.WebAPI.deps.json", "JSON", 0, 0, 0, 1069, 0, 0, 0, 0, 0, 0, 0, 0, 1069
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\bin\Debug\net9.0\MaritimeApp.WebAPI.runtimeconfig.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\bin\Debug\net9.0\MaritimeApp.WebAPI.staticwebassets.endpoints.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\bin\Debug\net9.0\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\bin\Debug\net9.0\appsettings.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\MaritimeApp.WebAPI.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\MaritimeApp.WebAPI.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\MaritimeApp.WebAPI.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\MaritimeApp.WebAPI.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 9, 5, 18
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\MaritimeApp.WebAPI.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\staticwebassets\msbuild.build.MaritimeApp.WebAPI.props", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\staticwebassets\msbuild.buildMultiTargeting.MaritimeApp.WebAPI.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\Debug\net9.0\staticwebassets\msbuild.buildTransitive.MaritimeApp.WebAPI.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\MaritimeApp.WebAPI.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 0, 0, 327
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\MaritimeApp.WebAPI.csproj.nuget.g.props", "XML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\MaritimeApp.WebAPI.csproj.nuget.g.targets", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\obj\project.assets.json", "JSON", 0, 0, 0, 3410, 0, 0, 0, 0, 0, 0, 0, 0, 3410
"d:\Jobs\NAPA group\database\database.sql", "PLSQL", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 309
"d:\Jobs\NAPA group\database\updated_schema.sql", "PLSQL", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 107
"d:\Jobs\NAPA group\frontend\maritime-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 24, 60
"d:\Jobs\NAPA group\frontend\maritime-app\angular.json", "JSON", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 108
"d:\Jobs\NAPA group\frontend\maritime-app\package-lock.json", "JSON", 0, 0, 0, 14947, 0, 0, 0, 0, 0, 0, 0, 1, 14948
"d:\Jobs\NAPA group\frontend\maritime-app\package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 41
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 5, 30
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 13
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\add-ship\add-ship.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 5, 29
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\add-ship\add-ship.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\add-ship\add-ship.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\add-ship\add-ship.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 5, 40
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\edit-ship\edit-ship.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 71, 6, 96
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\edit-ship\edit-ship.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\edit-ship\edit-ship.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\edit-ship\edit-ship.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 10, 66
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-detail\ship-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 13, 3, 27
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-detail\ship-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-detail\ship-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-detail\ship-detail.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 4, 38
